"","name","iata_code","icao_code"
"693","Associated Aircraft Group",NA,"FXW"
"694","ATA Airlines",NA,"TBZ"
"695","Air Austral","UU","REU"
"696","Aviation West Charters",NA,"AGM"
"697","AB Aviation","Y6","AYD"
"698","Azimuth","A4","AZO"
"699","Azur Air Ukraine Airlines","QU","UTN"
"700","Air Belgium","KF","ABB"
"701","Big Bend Community College",NA,"BGB"
"702","Air Bohemia",NA,"BOH"
"703","Braathens Regional","TF","BRX"
"704","Bravo Airways",NA,"BAY"
"705","Chalair Aviation","CE","CLG"
"706","Challenge Airlines","X7","FRH"
"707","Chartright Air",NA,"HRT"
